"Individual","Treatment","Timepoint","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels"
"Ind4","DMSO","24R","10X","DMSO_24R_75_EMP_10X_RGB_0008_DAPI",121,14.7290754716981,12.2075471698113,35.0377358490566,8.91624528301887,20.8490566037736
"Ind4","DMSO","24R","10X","DMSO_24R_75_EMP_10X_RGB_0009_DAPI",389,14.9369397590361,11.7650602409639,36.8795180722892,15.6960240963855,29.2951807228916
"Ind4","DMSO","24R","10X","DMSO_24R_75_EMP_10X_RGB_0010_DAPI",110,11.1777555555556,9.04444444444444,38,7.77502222222222,17.7333333333333
"Ind4","DMSO","24R","10X","DMSO_24R_75_EMP_10X_RGB_0011_DAPI",321,15.8155454545455,10.4909090909091,39.6454545454545,22.5501454545455,55.5545454545455
"Ind4","DMSO","24R","10X","DMSO_24Rdup_75_EMP_10X_RGB_0001_DAPI",600,14.2174719471947,11.5940594059406,32.7920792079208,13.4210924092409,29.7359735973597
"Ind4","DMSO","24R","10X","DMSO_24Rdup_75_EMP_10X_RGB_0002_DAPI",352,13.9826985294118,11.375,35.0808823529412,11.2552132352941,23.7794117647059
"Ind4","DMSO","24R","10X","DMSO_24Rdup_75_EMP_10X_RGB_0003_DAPI",147,18.6746170212766,14.3617021276596,42.0851063829787,25.9833191489362,72.1276595744681
"Ind4","DMSO","24R","10X","DMSO_24Rdup_75_EMP_10X_RGB_0004_DAPI",517,14.5562433628319,11.4823008849558,34.7522123893805,12.7857876106195,25.8053097345133
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0001_DAPI",207,16.9135463917526,11.4226804123711,44.2319587628866,82.526324742268,358.953608247423
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0002_DAPI",38,12.03284375,8.90625,51.15625,22.6714375,150.125
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0003_DAPI",26,11.8364210526316,8.36842105263158,40.6842105263158,26.7848947368421,130.842105263158
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0004_DAPI",143,14.7874651162791,10.2558139534884,53.7674418604651,50.6446899224806,217.325581395349
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0005_DAPI",68,15.2931111111111,9.23809523809524,59.7460317460317,31.0590476190476,165.730158730159
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0006_DAPI",13,13.0331818181818,8.45454545454546,54.9090909090909,46.2379090909091,220.727272727273
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0007_DAPI",126,15.6180964912281,10.6052631578947,52.5175438596491,56.6069385964912,282.464912280702
"Ind4","DMSO","24R","20X","DMSO_24R_75_EMP_20X_RGB_0012_DAPI",76,14.6435735294118,9.19117647058824,50.5,24.3825588235294,163.191176470588
"Ind4","DMSO","24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0005_DAPI",95,14.2289642857143,9.89285714285714,42.1428571428571,35.2226666666667,149.642857142857
"Ind4","DMSO","24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0006_DAPI",219,16.1950753768844,11.7386934673367,43.3517587939699,87.2891055276382,362.929648241206
"Ind4","DMSO","24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0007_DAPI",38,15.2224545454545,10.1212121212121,57.3333333333333,107.850636363636,507.454545454545
"Ind4","DMSO","24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0008_DAPI",77,13.5176461538462,10.1076923076923,42.5076923076923,37.7100923076923,189.892307692308
"Ind4","DMSO","24T","10X","DMSO_24T_75_EMP_10X_RGB_0001_DAPI",502,19.9591,15.1896551724138,41.4793103448276,31.9990482758621,45.3172413793103
"Ind4","DMSO","24T","10X","DMSO_24T_75_EMP_10X_RGB_0002_DAPI",681,20.7122993492408,16.5140997830803,36.4511930585683,40.9006334056399,34.2082429501085
"Ind4","DMSO","24T","10X","DMSO_24T_75_EMP_10X_RGB_0003_DAPI",428,13.9348743718593,10.8844221105528,35.7085427135678,14.4281557788945,31.9597989949749
"Ind4","DMSO","24T","10X","DMSO_24Tdup_75_EMP_10X_RGB_0004_DAPI",533,16.9157333333333,13.5649122807018,31.9929824561403,30.2036140350877,33.5052631578947
"Ind4","DMSO","24T","10X","DMSO_24Tdup_75_EMP_10X_RGB_0005_DAPI",229,16.4791176470588,12.4705882352941,38.4558823529412,20.0921617647059,43.9264705882353
"Ind4","DMSO","24T","10X","DMSO_24Tdup_75_EMP_10X_RGB_0006_DAPI",117,16.6996744186047,13.0232558139535,50.5116279069767,16.2916279069767,43.4186046511628
"Ind4","DMSO","24T","20X","DMSO_24T_75_EMP_20X_RGB_0004_DAPI",100,16.4743838383838,11.5353535353535,42.7373737373737,109.147636363636,487.252525252525
"Ind4","DMSO","24T","20X","DMSO_24T_75_EMP_20X_RGB_0005_DAPI",342,18.7826187683284,14.3460410557185,36.6129032258064,233.003149560117,491.319648093842
"Ind4","DMSO","24T","20X","DMSO_24T_75_EMP_20X_RGB_0006_DAPI",219,16.3887320574163,11.9186602870813,36.9952153110048,110.155985645933,278.846889952153
"Ind4","DMSO","24T","20X","DMSO_24T_75_EMP_20X_RGB_0007_DAPI",73,13.9982173913043,10.231884057971,37.4927536231884,43.8533768115942,179.289855072464
"Ind4","DMSO","24T","20X","DMSO_24T_75_EMP_20X_RGB_0008_DAPI",76,14.1129014084507,10.3802816901408,37.2253521126761,45.959323943662,174.084507042254
"Ind4","DMSO","24T","20X","DMSO_24T_75_EMP_20X_RGB_0009_DAPI",135,22.1220597014925,12.8805970149254,52.3507462686567,147.313776119403,376.791044776119
